year,month,mileage,daily_km,hybrid,displace_cc,weight_kg,age_month,temp_ave,gasprice,pop_density
2006,11,9.01,68.3,0,1990,1695,37,14.1,133.675,1213
2006,11,12.66,6,0,1990,1475,93,15.2,130.5,105
2006,11,11.01,29.5,0,1990,1605,86,14.8,136.75,4656
2006,11,5.78,8.2,0,1990,1665,19,6.2,136.825,65
2006,11,8.64,62.4,0,1990,1615,104,8.9,134.75,91
2006,11,6,5.7,0,1990,1715,187,11.3,137.05,186
2006,11,7.09,30.3,0,1990,2000,38,14.8,136.75,4656
2006,11,10.66,32.3,0,1990,1605,44,7.7,134.75,140
2006,11,7.17,20.6,0,1990,1875,74,11.3,137.05,186
2006,11,6.25,5.6,0,2250,1705,68,15.1,136.2,671
2006,11,8.83,28.8,0,2350,1795,22,15,135.7,1027
2006,11,13.75,70,1,2360,2265,52,14.1,133.675,1213
2006,11,7.6,28.8,0,2360,1835,57,6.2,136.825,65
2006,11,11.6,46.8,1,2360,2235,17,14.4,136.925,187
2006,11,10.79,65.8,1,2360,2440,13,11.3,137.05,186
2006,11,7.15,38.7,0,2370,2005,28,12.1,135.4,256
2006,11,4.8,3.5,0,2490,1825,58,12.3,130.6,1923
2006,11,7.59,48.5,0,2490,1685,119,14.6,139.625,188
2006,11,8.92,44.2,0,2490,1855,48,11.4,132.475,489
2006,11,4.89,9.6,0,2490,1865,167,13.2,138.15,1448
2006,11,4.78,17.2,0,2690,2380,80,14.8,136.75,4656
2006,11,10.5,96.6,0,2990,1875,41,14.4,137.925,6069
2006,11,8.63,13.8,0,2990,1695,166,12.7,134.1,166
2006,11,9.01,105.4,0,3190,1825,106,13.6,137.825,338
2006,11,10.76,23.1,1,3310,2245,19,7,136.825,65
2006,11,8.49,22.2,0,3370,2340,103,7,136.825,65
2006,12,3.04,11.9,0,650,1210,61,2.4,139.3,158
2006,12,12.44,20.7,0,650,1000,15,10.4,138.35,147
2006,12,5.79,36.1,0,650,1040,49,8.8,134.65,212
2006,12,16.28,52.4,0,650,830,186,4.8,132.825,320
2006,12,16.6,34.2,0,650,950,10,9.1,135.175,187
2006,12,13.72,16.9,0,650,970,140,8.9,138.375,251
2006,12,15.31,32,0,650,970,128,8.5,133.3,322
2006,12,13.3,7.8,0,650,1010,34,6.6,132.675,354
2006,12,12.37,12.1,0,650,1040,28,9.2,133.625,671
2006,12,12.35,12.6,0,650,880,133,8.9,138.375,251
2006,12,8.07,2.7,0,650,1040,52,7,129.1,1923
2006,12,8.33,23.9,0,650,1060,21,9.5,137.075,6069
2006,12,6.8,24.1,0,650,1470,197,7.9,134.85,338
2006,12,12.48,4.8,0,650,1030,72,9.5,137.075,6069
2006,12,11.53,23.1,0,1240,1205,32,11.6,142.7,184
2006,12,11.77,33.3,0,1290,1205,30,6.6,132.675,354
2006,12,13.72,56,0,1290,1265,59,-3.4,134.75,65
2006,12,11.99,101.9,0,1320,1365,25,1.1,134.2,85
