year,num,prefecture,pop.1000,GRP.mill,goods,ton
2000,26,Kyoto,2644,9776633,chemical,10685385
2000,26,Kyoto,2644,9776633,Smachine,5918729
2000,26,Kyoto,2644,9776633,miscind,1461057
2000,26,Kyoto,2644,9776633,special,1081803
2000,26,Kyoto,2644,9776633,total,38672107
2000,27,Osaka,8805,39609306,agriculture,10160149
2000,27,Osaka,8805,39609306,wood,988579
2000,27,Osaka,8805,39609306,mine,12904398
2000,27,Osaka,8805,39609306,machine,53067738
2000,27,Osaka,8805,39609306,chemical,71173674
2000,27,Osaka,8805,39609306,Smachine,19905768
2000,27,Osaka,8805,39609306,miscind,11235798
2000,27,Osaka,8805,39609306,special,6046732
2000,27,Osaka,8805,39609306,total,185482836
2000,28,Hyougo,5551,20272696,agriculture,7718647
2000,28,Hyougo,5551,20272696,wood,1371707
2000,28,Hyougo,5551,20272696,mine,22081867
2000,28,Hyougo,5551,20272696,machine,27961225
2000,28,Hyougo,5551,20272696,chemical,47689481
2000,28,Hyougo,5551,20272696,Smachine,15302817
2000,28,Hyougo,5551,20272696,miscind,3867759
2000,28,Hyougo,5551,20272696,special,5002109
2000,28,Hyougo,5551,20272696,total,130995612
2000,29,Nara,1443,3894467,agriculture,371850
2000,29,Nara,1443,3894467,wood,695940
2000,29,Nara,1443,3894467,mine,4170815
2000,29,Nara,1443,3894467,machine,1950140
2000,29,Nara,1443,3894467,chemical,6263174
2000,29,Nara,1443,3894467,Smachine,1665787
2000,29,Nara,1443,3894467,miscind,923072
2000,29,Nara,1443,3894467,special,471881
2000,29,Nara,1443,3894467,total,16512659
2000,30,Wakayama,1070,3356343,agriculture,612660
2000,30,Wakayama,1070,3356343,wood,592280
2000,30,Wakayama,1070,3356343,mine,1796127
2000,30,Wakayama,1070,3356343,machine,6523129
2000,30,Wakayama,1070,3356343,chemical,11984005
2000,30,Wakayama,1070,3356343,Smachine,1138528
2000,30,Wakayama,1070,3356343,miscind,863867
2000,30,Wakayama,1070,3356343,special,571760
2000,30,Wakayama,1070,3356343,total,24082356
2000,31,Tottori,613,2193123,agriculture,618480
2000,31,Tottori,613,2193123,wood,214614
2000,31,Tottori,613,2193123,mine,4336231
2000,31,Tottori,613,2193123,machine,615673
