mode,time_1ibaraki,time_2tokyo,time_3hachinohe,time_4rail,time_5seikan,cost_1ibaraki,cost_2tokyo,cost_3hachinohe,cost_4rail,cost_5seikan,w1_al1,w1_al2,w1_al3,w1_al4,w1_al5,w2_al1,w2_al2,w2_al3,w2_al4,w2_al5,w3_al1,w3_al2,w3_al3,w3_al4,w3_al5,w4_al1,w4_al2,w4_al3,w4_al4,w4_al5,goods
1,22.52,33.133,17.63,19.192,18.39,322.78,296.43,280.43,179.5,351.09,4.090575455,0,0,0,0,0,4.090575455,0,0,0,0,0,4.090575455,0,0,0,0,0,4.090575455,0,4
1,26.057,36.227,21.167,47.118,22.047,377.51,336.36,337.75,197.9,413.68,2.915399835,0,0,0,0,0,2.915399835,0,0,0,0,0,2.915399835,0,0,0,0,0,2.915399835,0,1
1,22.257,37.427,16.828,23.307,17.517,318.28,348.09,268.04,190.4,338.7,3.009025742,0,0,0,0,0,3.009025742,0,0,0,0,0,3.009025742,0,0,0,0,0,3.009025742,0,5
1,20.575,36.58,15.73,38.477,16.52,272.92,330.89,247.63,171.3,327.08,3.558108302,0,0,0,0,0,3.558108302,0,0,0,0,0,3.558108302,0,0,0,0,0,3.558108302,0,6
1,22.603,36.943,16.988,22.967,17.678,321.81,328.96,270.73,185.1,344.18,4.297760511,0,0,0,0,0,4.297760511,0,0,0,0,0,4.297760511,0,0,0,0,0,4.297760511,0,1
1,22.128,33.718,16.515,23.942,16.507,317.68,305.81,270.48,180.3,331.82,4.602059991,0,0,0,0,0,4.602059991,0,0,0,0,0,4.602059991,0,0,0,0,0,4.602059991,0,6
1,20.645,36.8,15.973,38.627,16.763,272,333.17,247.93,171.3,327.38,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,5
1,22.012,37.442,16.41,19.937,17.04,314.32,351.09,264.98,181.4,323.17,3.622421274,0,0,0,0,0,3.622421274,0,0,0,0,0,3.622421274,0,0,0,0,0,3.622421274,0,6
1,25.432,39.963,20.535,39.007,21.358,363.65,381.26,325.23,207.3,401.16,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,6
1,21.142,37.828,16.457,31.653,17.147,289.49,362.16,262.31,172.4,333.45,4.230448921,0,0,0,0,0,4.230448921,0,0,0,0,0,4.230448921,0,0,0,0,0,4.230448921,0,6
1,22.138,35.298,17.242,35.427,18.032,310.33,302.14,268.62,170.9,348.07,3.230448921,0,0,0,0,0,3.230448921,0,0,0,0,0,3.230448921,0,0,0,0,0,3.230448921,0,5
1,22.345,35.505,17.45,38.427,18.14,318.98,309.71,279.22,196.8,352.62,3.193124598,0,0,0,0,0,3.193124598,0,0,0,0,0,3.193124598,0,0,0,0,0,3.193124598,0,1
1,22.243,32.593,17.353,32.81,17.345,320.58,283.31,284.7,188.9,346.04,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,6
1,22.717,35.877,17.82,37.347,18.61,314.56,308.7,277.4,184,356.85,4.113943352,0,0,0,0,0,4.113943352,0,0,0,0,0,4.113943352,0,0,0,0,0,4.113943352,0,4
1,20.738,37.272,15.628,33.695,16.318,275.99,350.57,248.71,188.2,322.11,2.064457989,0,0,0,0,0,2.064457989,0,0,0,0,0,2.064457989,0,0,0,0,0,2.064457989,0,6
1,22.45,37.62,17.022,23.582,17.712,321.17,350.98,270.93,200.9,342.07,2.542825427,0,0,0,0,0,2.542825427,0,0,0,0,0,2.542825427,0,0,0,0,0,2.542825427,0,5
1,23.643,35.803,18.032,49.462,18.792,355.43,355.3,299.8,208.8,365,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,6
1,26.852,37.537,21.815,69.815,22.697,386.08,357.6,343.67,244.4,412.86,3.556302501,0,0,0,0,0,3.556302501,0,0,0,0,0,3.556302501,0,0,0,0,0,3.556302501,0,1
1,21.93,36.943,17.312,32.908,18,299.38,347.55,274.5,179.9,348.22,1.954242509,0,0,0,0,0,1.954242509,0,0,0,0,0,1.954242509,0,0,0,0,0,1.954242509,0,5
1,24.975,35.26,19.922,62.912,20.803,362.9,332,317,212.2,386.2,3.934498451,0,0,0,0,0,3.934498451,0,0,0,0,0,3.934498451,0,0,0,0,0,3.934498451,0,6
1,21.93,36.943,17.312,32.908,18,299.38,347.55,274.5,179.9,348.22,2.079181246,0,0,0,0,0,2.079181246,0,0,0,0,0,2.079181246,0,0,0,0,0,2.079181246,0,5
1,24.015,37.065,19.177,69.117,20.058,338.01,364.1,312.72,208.8,392.02,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,7
1,21.37,37.843,15.872,33.175,16.56,293.75,363.78,259.08,172.4,329.74,2.440909082,0,0,0,0,0,2.440909082,0,0,0,0,0,2.440909082,0,0,0,0,0,2.440909082,0,4
1,25.213,36.698,19.602,47.327,20.482,370.49,356.41,321.34,216.3,400.64,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,7
1,21.845,37.017,16.95,25.805,17.64,315.49,349.71,279.44,186.7,350.1,1.491361694,0,0,0,0,0,1.491361694,0,0,0,0,0,1.491361694,0,0,0,0,0,1.491361694,0,7
1,22.597,36.542,17.7,29.447,18.388,320.95,334.07,279.08,196.8,349.74,3.06069784,0,0,0,0,0,3.06069784,0,0,0,0,0,3.06069784,0,0,0,0,0,3.06069784,0,4
1,22.388,36.32,17.175,33.04,17.905,312.36,314.51,260.12,190.8,340.73,3.477121255,0,0,0,0,0,3.477121255,0,0,0,0,0,3.477121255,0,0,0,0,0,3.477121255,0,5
1,22.185,37.357,17.29,39.147,16.4,320.92,355.14,284.87,171.3,323.81,0.602059991,0,0,0,0,0,0.602059991,0,0,0,0,0,0.602059991,0,0,0,0,0,0.602059991,0,7
1,21.983,37.902,16.247,20.052,16.935,314.68,360.78,258.72,186.6,329.28,2.037426498,0,0,0,0,0,2.037426498,0,0,0,0,0,2.037426498,0,0,0,0,0,2.037426498,0,6
1,22.047,37.687,14.817,32.938,15.607,289.81,351.11,227.49,162.3,306.94,3.93166124,0,0,0,0,0,3.93166124,0,0,0,0,0,3.93166124,0,0,0,0,0,3.93166124,0,7
1,22.302,37.315,17.683,43.917,17.797,310.48,358.65,285.6,178.8,328.66,4.254789687,0,0,0,0,0,4.254789687,0,0,0,0,0,4.254789687,0,0,0,0,0,4.254789687,0,5
1,21.575,37.73,16.903,44.537,17.017,301.25,362.42,277.18,180.3,320.24,3.718501689,0,0,0,0,0,3.718501689,0,0,0,0,0,3.718501689,0,0,0,0,0,3.718501689,0,6
1,21.137,37.61,15.638,33.158,16.328,286.22,356.25,251.55,167.2,325.24,4.146128036,0,0,0,0,0,4.146128036,0,0,0,0,0,4.146128036,0,0,0,0,0,4.146128036,0,4
1,23.008,37.348,17.393,37.575,17.507,336.58,343.73,285.5,184,328.56,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4
1,21.9,37.072,17.005,25.712,17.588,312.43,346.65,276.38,181.4,334.57,2.278753601,0,0,0,0,0,2.278753601,0,0,0,0,0,2.278753601,0,0,0,0,0,2.278753601,0,7
1,23.293,38.465,18.398,38.39,19.222,336.63,370.85,300.58,189.3,373.66,2.089905111,0,0,0,0,0,2.089905111,0,0,0,0,0,2.089905111,0,0,0,0,0,2.089905111,0,7
1,26.78,39.988,21.74,38.393,22.563,386.3,380.68,346.49,211,422.42,1.698970004,0,0,0,0,0,1.698970004,0,0,0,0,0,1.698970004,0,0,0,0,0,1.698970004,0,6
